,la_code,reporting_year,academic_year,region_code,region_name,la_name,pt_ks2_expectations,pt_ks4_expectations,avg_p8score,num_convictions,num_placed_inside_la,pt_convictions,pt_placed_inside_la,num_substance,num_private_provis,pt_substance,pt_private_provis,num_3_more_placemts,pt_3_more_placemts,inspection_date,ofsted_overall,ofsted_leaders,ofsted_help_protection,ofsted_care,cla_budget,number_in_care,number_in_care_filled,num_convictions_filled,num_placed_inside_la_filled,num_substance_filled,num_private_provis_filled,num_3_more_placemts_filled,pt_convictions_filled,pt_placed_inside_la_filled,pt_substance_filled,pt_private_provis_filled,pt_3_more_placemts_filled,pt_ks2_expectations_filled,pt_ks4_expectations_filled,avg_p8score_filled,per_child_spend,cla_budget_filled,ofsted_overall_filled,ofsted_leaders_filled,ofsted_care_filled,ofsted_help_protection_filled,budget_per_child
128,E09000032,2022,202122.0,E13000001,Inner London,Wandsworth,,44.4,-1.08,,57.0,,23.0,13.0,135.0,8.0,56.0,31.0,13.0,07/11/2022,3.0,3.0,3.0,3.0,24807.0,243.0,243.0,2.0,57.0,13.0,135.0,31.0,0.823045267489712,23.0,8.0,56.0,13.0,75.0,44.4,-1.08,102.08641975308642,24807.0,3.0,3.0,3.0,3.0,102.08641975308642
631,E06000007,2018,201718.0,E12000002,North West,Warrington,62.0,,-1.71,,238.0,,59.0,6.0,118.0,2.0,29.0,58.0,14.0,,,,,,18076.0,401.0,401.0,4.0,238.0,6.0,118.0,58.0,0.997506234413965,59.0,2.0,29.0,14.0,62.0,22.027272727272727,-1.71,45.077306733167084,18076.0,3.0,3.0,3.0,3.0,45.077306733167084
482,E06000007,2019,201819.0,E12000002,North West,Warrington,46.0,26.1,-0.84,7.0,230.0,3.0,60.0,12.0,105.0,4.0,27.0,49.0,13.0,08/07/2019,3.0,3.0,3.0,3.0,20093.0,385.0,385.0,7.0,230.0,12.0,105.0,49.0,3.0,60.0,4.0,27.0,13.0,46.0,26.1,-0.84,52.18961038961039,20093.0,3.0,3.0,3.0,3.0,52.18961038961039
331,E06000007,2020,201920.0,E12000002,North West,Warrington,,26.7,,6.0,200.0,3.0,55.0,15.0,97.0,5.0,27.0,34.0,9.0,,,,,,20397.0,364.0,364.0,6.0,200.0,15.0,97.0,34.0,3.0,55.0,5.0,27.0,9.0,38.5,26.7,-1.376231884057971,56.035714285714285,20397.0,3.0,3.0,3.0,3.0,56.035714285714285
181,E06000007,2021,202021.0,E12000002,North West,Warrington,,35.7,,6.0,205.0,3.0,56.0,21.0,103.0,7.0,28.0,27.0,7.0,,,,,,21994.0,366.0,366.0,6.0,205.0,21.0,103.0,27.0,3.0,56.0,7.0,28.0,7.0,38.5,35.7,-1.376231884057971,60.09289617486339,21994.0,3.0,3.0,3.0,3.0,60.09289617486339
32,E06000007,2022,202122.0,E12000002,North West,Warrington,,,-1.75,,180.0,,54.0,23.0,102.0,9.0,31.0,31.0,9.0,,,,,,22843.0,331.0,331.0,6.0,180.0,23.0,102.0,31.0,1.812688821752266,54.0,9.0,31.0,9.0,34.05555555555556,24.083333333333332,-1.75,69.01208459214502,22843.0,3.0,3.0,3.0,3.0,69.01208459214502
669,E10000031,2018,201718.0,E12000005,West Midlands,Warwickshire,41.0,20.0,-1.43,14.0,425.0,4.0,59.0,0.0,231.0,0.0,32.0,78.0,11.0,,,,,,28295.0,717.0,717.0,14.0,425.0,0.0,231.0,78.0,4.0,59.0,0.0,32.0,11.0,41.0,20.0,-1.43,39.46304044630404,28295.0,3.0,3.0,3.0,3.0,39.46304044630404
520,E10000031,2019,201819.0,E12000005,West Midlands,Warwickshire,31.0,17.1,-1.07,11.0,420.0,3.0,58.0,,246.0,,34.0,92.0,13.0,,,,,,27771.0,722.0,722.0,11.0,420.0,2.0,246.0,92.0,3.0,58.0,0.2770083102493075,34.0,13.0,31.0,17.1,-1.07,38.46398891966759,27771.0,3.0,3.0,3.0,3.0,38.46398891966759
369,E10000031,2020,201920.0,E12000005,West Midlands,Warwickshire,,15.4,,,394.0,,52.0,,288.0,,38.0,111.0,15.0,,,,,,32555.0,755.0,755.0,5.0,394.0,4.0,288.0,111.0,0.6622516556291391,52.0,0.5298013245033113,38.0,15.0,35.111111111111114,15.4,-1.1357142857142857,43.11920529801324,32555.0,3.0,3.0,3.0,3.0,43.11920529801324
219,E10000031,2021,202021.0,E12000005,West Midlands,Warwickshire,,14.0,,13.0,433.0,4.0,50.0,10.0,367.0,2.0,43.0,136.0,16.0,22/11/2021,3.0,3.0,3.0,3.0,43942.0,861.0,861.0,13.0,433.0,10.0,367.0,136.0,4.0,50.0,2.0,43.0,16.0,35.111111111111114,14.0,-1.1357142857142857,51.03600464576074,43942.0,3.0,3.0,3.0,3.0,51.03600464576074
